CompanyName,CompanyCode,Department,Unit,Location,OU
,AIC,WATER EXCELLENCE TEAM,WATER EXCELLENCE TEAM,Cebu,/AIC
,AIC,WATER EXCELLENCE TEAM,WATER EXCELLENCE TEAM,Taguig,/AIC
Pilmico Foods Corporation,,,,Tarlac,/Pilmico/PFC-Tarlac
Pilmico Animal Nutrition Corporation,,,,Tarlac,/Pilmico/PANC-Tarlac
Pilmico Foods Corporation,,,,Iligan,/Pilmico/PFC-Iligan
Pilmico Animal Nutrition Corporation,,,,Iligan,/Pilmico/PANC-Iligan
Pilmico Foods Corporation,,,,Taguig,/Pilmico/PFC-Taguig
Pilmico Animal Nutrition Corporation,,,,Taguig,/Pilmico/PANC-Taguig
Pilmico Foods Corporation,,,,Vietnam,/Pilmico/PANC-Veitnam
Pilmico Animal Nutrition Corporation,,,,Vietnam,/Pilmico/PANC-Veitnam
Pilmico Foods Corporation,,,,Cebu,/Pilmico/PFC-Cebu
Pilmico Animal Nutrition Corporation,,,,Cebu,/Pilmico/PANC-Cebu
Pilmico Foods Corporation,,,,Indonesia,/Pilmico/PFC-Indonesia
Pilmico Foods Corporation,,,,,/Pilmico
Pilmico Animal Nutrition Corporation,,,,,/Pilmico
